"contractor_name","resolution_time_minutes"
"Contractor C",581.0000000000000000
"Contractor E",1163.0000000000000000
"Contractor B",240.0000000000000000
"Contractor C",655.0000000000000000
"Contractor E",421.0000000000000000
"Contractor B",259.0000000000000000
"Contractor D",541.0000000000000000
"Contractor A",847.0000000000000000
"Contractor B",257.0000000000000000
"Contractor D",408.0000000000000000
"Contractor A",310.0000000000000000
"Contractor B",302.0000000000000000
"Contractor D",581.0000000000000000
"Contractor A",908.0000000000000000
"Contractor C",408.0000000000000000
"Contractor D",928.0000000000000000
"Contractor A",331.0000000000000000
"Contractor C",634.0000000000000000
"Contractor E",620.0000000000000000
"Contractor A",456.0000000000000000
"Contractor C",601.0000000000000000
"Contractor E",989.0000000000000000
"Contractor A",353.0000000000000000
"Contractor C",677.0000000000000000
"Contractor E",420.0000000000000000
"Contractor A",1030.0000000000000000
"Contractor C",640.0000000000000000
"Contractor E",1051.0000000000000000
"Contractor B",212.0000000000000000
"Contractor C",180.0000000000000000
"Contractor E",700.0000000000000000
"Contractor B",632.0000000000000000
"Contractor D",713.0000000000000000
"Contractor E",1112.0000000000000000
"Contractor B",117.0000000000000000
"Contractor D",799.0000000000000000
"Contractor E",739.0000000000000000
"Contractor B",694.0000000000000000
"Contractor D",752.0000000000000000
"Contractor E",552.0000000000000000
"Contractor B",256.0000000000000000
"Contractor D",842.0000000000000000
"Contractor A",779.0000000000000000
"Contractor C",1163.0000000000000000
"Contractor D",189.0000000000000000
"Contractor A",469.0000000000000000
"Contractor C",421.0000000000000000
"Contractor D",346.0000000000000000
"Contractor A",323.0000000000000000
"Contractor C",576.0000000000000000
"Contractor D",337.0000000000000000
"Contractor A",530.0000000000000000
"Contractor C",443.0000000000000000
"Contractor E",389.0000000000000000
"Contractor A",264.0000000000000000
"Contractor C",1285.0000000000000000
"Contractor E",376.0000000000000000
"Contractor B",898.0000000000000000
"Contractor C",464.0000000000000000
"Contractor E",108.0000000000000000
"Contractor B",238.0000000000000000
"Contractor C",785.0000000000000000
"Contractor E",416.0000000000000000
"Contractor B",398.0000000000000000
"Contractor C",96.0000000000000000
"Contractor E",475.0000000000000000
"Contractor B",277.0000000000000000
"Contractor D",694.0000000000000000
"Contractor E",455.0000000000000000
"Contractor B",216.0000000000000000
"Contractor D",256.0000000000000000
"Contractor A",518.0000000000000000
"Contractor B",317.0000000000000000
"Contractor D",755.0000000000000000
"Contractor A",360.0000000000000000
"Contractor B",520.0000000000000000
"Contractor D",277.0000000000000000
"Contractor A",562.0000000000000000
"Contractor C",620.0000000000000000
"Contractor D",384.0000000000000000
"Contractor A",535.0000000000000000
"Contractor A",835.0000000000000000
"Contractor C",277.0000000000000000
"Contractor E",1204.0000000000000000
"Contractor A",785.0000000000000000
"Contractor C",384.0000000000000000
"Contractor E",304.0000000000000000
"Contractor B",302.0000000000000000
"Contractor C",299.0000000000000000
"Contractor E",500.0000000000000000
"Contractor B",216.0000000000000000
"Contractor C",877.0000000000000000
"Contractor E",343.0000000000000000
"Contractor B",346.0000000000000000
"Contractor C",320.0000000000000000
"Contractor E",264.0000000000000000
"Contractor B",337.0000000000000000
"Contractor D",581.0000000000000000
"Contractor E",383.0000000000000000
"Contractor B",389.0000000000000000
"Contractor D",72.0000000000000000
"Contractor A",622.0000000000000000
"Contractor B",376.0000000000000000
"Contractor D",643.0000000000000000
"Contractor A",422.0000000000000000
"Contractor B",108.0000000000000000
"Contractor D",238.0000000000000000
"Contractor A",683.0000000000000000
"Contractor C",680.0000000000000000
"Contractor D",704.0000000000000000
"Contractor A",336.0000000000000000
"Contractor C",763.0000000000000000
"Contractor D",259.0000000000000000
"Contractor A",745.0000000000000000
"Contractor C",719.0000000000000000
"Contractor E",360.0000000000000000
"Contractor A",502.0000000000000000
"Contractor C",806.0000000000000000
"Contractor E",281.0000000000000000
"Contractor A",806.0000000000000000
"Contractor C",483.0000000000000000
"Contractor E",826.0000000000000000
"Contractor B",508.0000000000000000
"Contractor C",850.0000000000000000
"Contractor E",302.0000000000000000
"Contractor B",384.0000000000000000
"Contractor C",799.0000000000000000
"Contractor E",887.0000000000000000
"Contractor B",548.0000000000000000
"Contractor D",641.0000000000000000
"Contractor E",162.0000000000000000
"Contractor B",877.0000000000000000
"Contractor D",607.0000000000000000
"Contractor A",949.0000000000000000
"Contractor B",587.0000000000000000
"Contractor D",171.0000000000000000
"Contractor A",346.0000000000000000
"Contractor B",377.0000000000000000
"Contractor D",647.0000000000000000
"Contractor A",1010.0000000000000000
"Contractor B",168.0000000000000000
"Contractor D",727.0000000000000000
"Contractor A",367.0000000000000000
"Contractor C",847.0000000000000000
"Contractor D",686.0000000000000000
"Contractor A",504.0000000000000000
"Contractor C",568.0000000000000000
"Contractor E",770.0000000000000000
"Contractor A",389.0000000000000000
"Contractor C",908.0000000000000000
"Contractor E",528.0000000000000000
"Contractor A",1132.0000000000000000
"Contractor C",607.0000000000000000
"Contractor E",814.0000000000000000
"Contractor A",410.0000000000000000
"Contractor C",456.0000000000000000
"Contractor E",766.0000000000000000
"Contractor B",581.0000000000000000
"Contractor D",779.0000000000000000
"Contractor E",857.0000000000000000
"Contractor B",72.0000000000000000
"Contractor D",469.0000000000000000
"Contractor E",775.0000000000000000
"Contractor B",133.0000000000000000
"Contractor D",562.0000000000000000
"Contractor E",521.0000000000000000
"Contractor B",192.0000000000000000
"Contractor D",535.0000000000000000
"Contractor E",836.0000000000000000
"Contractor B",155.0000000000000000
"Contractor A",857.0000000000000000
"Contractor A",408.0000000000000000
"Contractor B",469.0000000000000000
"Contractor D",574.0000000000000000
"Contractor A",898.0000000000000000
"Contractor B",176.0000000000000000
"Contractor D",162.0000000000000000
"Contractor A",601.0000000000000000
"Contractor C",1601.0000000000000000
"Contractor A",614.0000000000000000
"Contractor A",959.0000000000000000
"Contractor C",108.0000000000000000
"Contractor E",691.0000000000000000
"Contractor A",640.0000000000000000
"Contractor C",949.0000000000000000
"Contractor E",653.0000000000000000
"Contractor A",480.0000000000000000
"Contractor C",346.0000000000000000
"Contractor B",632.0000000000000000
"Contractor A",680.0000000000000000
"Contractor C",1010.0000000000000000
"Contractor E",504.0000000000000000
"Contractor B",673.0000000000000000
"Contractor C",367.0000000000000000
"Contractor E",778.0000000000000000
"Contractor B",455.0000000000000000
"Contractor D",528.0000000000000000
"Contractor B",469.0000000000000000
"Contractor B",734.0000000000000000
"Contractor D",407.0000000000000000
"Contractor E",821.0000000000000000
"Contractor B",315.0000000000000000
"Contractor D",1183.0000000000000000
"Contractor A",772.0000000000000000
"Contractor B",796.0000000000000000
"Contractor D",428.0000000000000000
"Contractor B",384.0000000000000000
"Contractor C",766.0000000000000000
"Contractor D",479.0000000000000000
"Contractor A",317.0000000000000000
"Contractor C",1214.0000000000000000
"Contractor D",90.0000000000000000
"Contractor A",367.0000000000000000
"Contractor C",805.0000000000000000
"Contractor D",541.0000000000000000
"Contractor C",818.0000000000000000
"Contractor C",600.0000000000000000
"Contractor E",202.0000000000000000
"Contractor A",410.0000000000000000
"Contractor C",845.0000000000000000
"Contractor E",602.0000000000000000
"Contractor B",168.0000000000000000
"Contractor C",1336.0000000000000000
"Contractor E",223.0000000000000000
"Contractor C",1357.0000000000000000
"Contractor C",884.0000000000000000
"Contractor E",312.0000000000000000
"Contractor B",304.0000000000000000
"Contractor D",683.0000000000000000
"Contractor E",245.0000000000000000
"Contractor B",353.0000000000000000
"Contractor D",336.0000000000000000
"Contractor E",724.0000000000000000
"Contractor D",475.0000000000000000
"Contractor D",745.0000000000000000
"Contractor A",266.0000000000000000
"Contractor B",99.0000000000000000
"Contractor D",502.0000000000000000
"Contractor A",785.0000000000000000
"Contractor B",383.0000000000000000
"Contractor D",806.0000000000000000
"Contractor A",96.0000000000000000
"Contractor D",826.0000000000000000
"Contractor D",541.0000000000000000
"Contractor A",847.0000000000000000
"Contractor C",1016.0000000000000000
"Contractor D",408.0000000000000000
"Contractor A",310.0000000000000000
"Contractor C",1130.0000000000000000
"Contractor E",581.0000000000000000
"Contractor D",1132.0000000000000000
"Contractor A",739.0000000000000000
"Contractor C",814.0000000000000000
"Contractor D",410.0000000000000000
"Contractor A",552.0000000000000000
"Contractor C",766.0000000000000000
"Contractor D",1193.0000000000000000
"Contractor A",779.0000000000000000
"Contractor A",1214.0000000000000000
"Contractor E",81.0000000000000000
"Contractor A",469.0000000000000000
"Contractor C",805.0000000000000000
"Contractor E",490.0000000000000000
"Contractor B",323.0000000000000000
"Contractor C",225.0000000000000000
"Contractor E",184.0000000000000000
"Contractor B",530.0000000000000000
"Contractor B",350.0000000000000000
"Contractor E",551.0000000000000000
"Contractor B",231.0000000000000000
"Contractor C",943.0000000000000000
"Contractor E",205.0000000000000000
"Contractor B",592.0000000000000000
"Contractor D",389.0000000000000000
"Contractor E",288.0000000000000000
"Contractor B",403.0000000000000000
"Contractor B",632.0000000000000000
"Contractor A",227.0000000000000000
"Contractor B",653.0000000000000000
"Contractor D",312.0000000000000000
"Contractor A",673.0000000000000000
"Contractor B",442.0000000000000000
"Contractor D",490.0000000000000000
"Contractor A",248.0000000000000000
"Contractor C",696.0000000000000000
"Contractor C",964.0000000000000000
"Contractor A",734.0000000000000000
"Contractor C",977.0000000000000000
"Contractor D",533.0000000000000000
"Contractor A",90.0000000000000000
"Contractor C",1540.0000000000000000
"Contractor E",508.0000000000000000
"Contractor A",796.0000000000000000
"Contractor C",1016.0000000000000000
"Contractor C",744.0000000000000000
"Contractor A",292.0000000000000000
"Contractor C",1601.0000000000000000
"Contractor E",548.0000000000000000
"Contractor B",857.0000000000000000
"Contractor C",432.0000000000000000
"Contractor E",619.0000000000000000
"Contractor B",313.0000000000000000
"Contractor C",949.0000000000000000
"Contractor C",620.0000000000000000
"Contractor B",168.0000000000000000
"Contractor D",601.0000000000000000
"Contractor E",662.0000000000000000
"Contractor B",137.0000000000000000
"Contractor D",959.0000000000000000
"Contractor A",399.0000000000000000
"Contractor B",418.0000000000000000
"Contractor D",640.0000000000000000
"Contractor D",1000.0000000000000000
"Contractor B",158.0000000000000000
"Contractor D",480.0000000000000000
"Contractor A",667.0000000000000000
"Contractor B",479.0000000000000000
"Contractor D",680.0000000000000000
"Contractor A",749.0000000000000000
"Contractor C",198.0000000000000000
"Contractor E",1081.0000000000000000
"Contractor E",706.0000000000000000
"Contractor C",1153.0000000000000000
"Contractor E",719.0000000000000000
"Contractor A",198.0000000000000000
"Contractor C",418.0000000000000000
"Contractor E",1142.0000000000000000
"Contractor A",746.0000000000000000
"Contractor C",1214.0000000000000000
"Contractor E",483.0000000000000000
"Contractor E",1183.0000000000000000
"Contractor C",439.0000000000000000
"Contractor E",1204.0000000000000000
"Contractor B",422.0000000000000000
"Contractor D",216.0000000000000000
"Contractor E",304.0000000000000000
"Contractor B",482.0000000000000000
"Contractor D",173.0000000000000000
"Contractor E",500.0000000000000000
"Contractor E",240.0000000000000000
"Contractor D",520.0000000000000000
"Contractor E",343.0000000000000000
"Contractor B",526.0000000000000000
"Contractor D",194.0000000000000000
"Contractor A",264.0000000000000000
"Contractor B",502.0000000000000000
"Contractor C",1540.0000000000000000
"Contractor E",475.0000000000000000
"Contractor B",388.0000000000000000
"Contractor C",554.0000000000000000
"Contractor E",135.0000000000000000
"Contractor B",271.0000000000000000
"Contractor C",1601.0000000000000000
"Contractor E",515.0000000000000000
"Contractor B",449.0000000000000000
"Contractor D",144.0000000000000000
"Contractor E",583.0000000000000000
"Contractor B",310.0000000000000000
"Contractor D",847.0000000000000000
"Contractor A",554.0000000000000000
"Contractor B",240.0000000000000000
"Contractor D",310.0000000000000000
"Contractor A",626.0000000000000000
"Contractor B",350.0000000000000000
"Contractor D",908.0000000000000000
"Contractor A",378.0000000000000000
"Contractor B",571.0000000000000000
"Contractor D",331.0000000000000000
"Contractor A",670.0000000000000000
"Contractor C",686.0000000000000000
"Contractor D",456.0000000000000000
"Contractor A",634.0000000000000000
"Contractor C",1091.0000000000000000
"Contractor E",353.0000000000000000
"Contractor A",713.0000000000000000
"Contractor C",528.0000000000000000
"Contractor E",1030.0000000000000000
"Contractor A",673.0000000000000000
"Contractor C",1153.0000000000000000
"Contractor E",374.0000000000000000
"Contractor A",189.0000000000000000
"Contractor C",766.0000000000000000
"Contractor E",1091.0000000000000000
"Contractor B",482.0000000000000000
"Contractor D",1112.0000000000000000
"Contractor E",132.0000000000000000
"Contractor B",547.0000000000000000
"Contractor D",739.0000000000000000
"Contractor E",1153.0000000000000000
"Contractor B",521.0000000000000000
"Contractor D",552.0000000000000000
"Contractor E",418.0000000000000000
"Contractor B",590.0000000000000000
"Contractor D",779.0000000000000000
"Contractor A",1214.0000000000000000
"Contractor B",408.0000000000000000
"Contractor D",469.0000000000000000
"Contractor A",169.0000000000000000
"Contractor C",958.0000000000000000
"Contractor D",323.0000000000000000
"Contractor A",240.0000000000000000
"Contractor C",898.0000000000000000
"Contractor D",530.0000000000000000
"Contractor A",191.0000000000000000
"Contractor C",1001.0000000000000000
"Contractor E",231.0000000000000000
"Contractor A",571.0000000000000000
"Contractor C",937.0000000000000000
"Contractor E",592.0000000000000000
"Contractor A",212.0000000000000000
"Contractor C",261.0000000000000000
"Contractor E",403.0000000000000000
"Contractor B",479.0000000000000000
"Contractor C",977.0000000000000000
"Contractor E",653.0000000000000000
"Contractor B",90.0000000000000000
"Contractor C",1087.0000000000000000
"Contractor E",442.0000000000000000
"Contractor B",541.0000000000000000
"Contractor D",455.0000000000000000
"Contractor E",336.0000000000000000
"Contractor B",202.0000000000000000
"Contractor D",518.0000000000000000
"Contractor E",482.0000000000000000
"Contractor B",602.0000000000000000
"Contractor D",315.0000000000000000
"Contractor A",775.0000000000000000
"Contractor B",223.0000000000000000
"Contractor D",562.0000000000000000
"Contractor A",521.0000000000000000
"Contractor C",456.0000000000000000
"Contractor D",535.0000000000000000
"Contractor A",836.0000000000000000
"Contractor C",353.0000000000000000
"Contractor D",605.0000000000000000
"Contractor A",408.0000000000000000
"Contractor C",1030.0000000000000000
"Contractor D",574.0000000000000000
"Contractor A",898.0000000000000000
"Contractor C",374.0000000000000000
"Contractor E",162.0000000000000000
"Contractor A",601.0000000000000000
"Contractor C",1091.0000000000000000
"Contractor E",614.0000000000000000
"Contractor B",806.0000000000000000
"Contractor C",132.0000000000000000
"Contractor E",691.0000000000000000
"Contractor B",541.0000000000000000
